Id,Label,All_uses,Uses_1,Uses_2,Uses_3,Uses_4,Uses_5,Uses_6,Uses_7
0,Harry,17274,1264,1545,1924,2982,3982,2616,2961
1,Voldemort,1850,52,166,78,278,294,435,547
2,Dudley,395,129,32,24,54,108,7,41
3,Hagrid,1877,333,150,243,347,434,219,151
4,Vernon,747,208,76,99,116,142,45,61
5,Flamel,26,24,0,0,0,0,0,2
6,Norbert,23,19,0,1,0,2,0,1
7,Petunia,478,103,62,54,74,98,26,61
8,Corner,287,24,24,31,44,70,51,43
9,Dumbledore,3130,142,148,144,544,599,967,586
10,Mcgonagall,658,87,88,98,83,167,76,59
11,Madam Pomfrey,117,9,25,32,22,10,18,1
12,Godric,61,1,1,0,1,1,2,55
13,Lily,96,5,0,14,0,9,4,64
14,James,146,4,0,23,1,62,6,50
15,Sirius,1048,2,0,122,207,602,53,62
16,Marge,65,4,0,59,0,2,0,0
17,Figg,48,7,0,0,2,39,0,0
18,Oliver,231,53,39,82,23,14,7,13
19,Bill,254,7,5,4,59,29,46,104
20,Merlin,28,1,2,4,2,9,5,5
21,Mark,127,5,4,4,44,12,33,25
22,Cornelius,60,1,4,5,18,27,5,0
23,Bathilda,69,1,0,1,0,0,0,67
24,Dedalus,14,1,0,0,0,1,0,12
25,Quirrell,109,100,0,0,0,5,3,1
26,Griphook,127,10,0,0,0,0,0,117
27,Malkin,13,2,0,0,0,0,11,0
28,Ollivander,105,19,0,0,20,0,4,62
29,Hedwig,196,12,17,35,45,64,7,16
30,Ginny,628,4,96,13,37,182,196,100
31,Percy,357,35,62,64,96,55,18,27
32,Fred,724,28,78,66,141,273,69,69
33,George,618,23,74,57,125,232,49,58
34,Ron,5744,381,646,726,926,1191,805,1069
35,Neville,680,102,29,93,76,246,65,69
36,Lee,84,9,5,11,18,27,1,13
37,Charlie,86,17,4,0,52,3,3,7
38,Pettigrew,401,13,3,214,116,20,7,28
39,Grindelwald,56,2,0,0,0,0,0,54
40,Hermione,4976,255,314,624,802,1223,645,1113
41,Crabbe,205,19,33,32,30,32,30,29
42,Goyle,204,21,37,34,30,35,27,20
43,Malfoy,1250,108,197,164,128,170,372,111
44,Weasley,1276,19,119,79,322,412,178,147
45,Nick,86,4,32,0,13,26,4,7
46,Seamus,155,17,13,16,21,56,22,10
47,Snape,1817,153,98,240,231,357,437,301
48,Norris,50,12,21,2,6,7,1,1
49,Sprout,87,3,24,2,13,16,18,11
50,Binns,45,3,17,1,7,16,0,1
51,Flitwick,119,20,10,21,14,25,13,16
52,Fang,108,14,33,6,18,16,12,9
53,Dean Thomas,34,2,5,9,5,6,5,2
54,Dean,129,7,6,4,14,31,38,29
55,Madam Hooch,38,8,8,15,0,7,0,0
56,Pansy,32,1,0,4,7,8,11,1
57,Parvati,17,2,1,2,3,6,3,0
58,Johnson,9,2,0,1,0,6,0,0
59,Ronan,19,17,0,0,0,2,0,0
60,Bane,26,14,0,0,0,11,0,1
61,Firenze,67,18,0,0,0,41,5,3
62,Pomfrey,29,1,3,6,3,4,12,0
63,Dobby,414,0,135,0,155,55,32,37
64,Lockhart,250,0,228,0,3,19,0,0
65,Aragog,42,0,21,0,0,1,17,3
66,Mason,9,0,9,0,0,0,0,0
67,Lucius,121,0,27,5,8,25,16,40
68,Errol,22,0,9,10,3,0,0,0
69,Arthur,98,0,10,6,22,34,15,11
70,Fletcher,119,0,1,0,1,51,20,46
71,Molly,65,0,6,5,6,30,10,8
72,Arthur Weasley,27,0,6,0,6,9,2,4
73,Borgin,72,0,17,0,0,0,50,5
74,Fred George,34,0,5,1,10,15,2,1
75,Justin,38,0,35,0,0,3,0,0
76,Creevey,27,0,11,1,7,5,1,2
77,Colin,46,0,33,1,10,1,0,1
78,Frank,67,0,1,0,62,3,1,0
79,Ogden,63,0,1,0,0,0,62,0
80,Katie Bell,89,0,2,14,1,25,47,0
81,Alicia,30,0,1,8,1,20,0,0
82,Patrick,7,0,7,0,0,0,0,0
83,Myrtle,100,0,60,0,25,0,15,0
84,Salazar,13,0,10,0,0,0,2,1
85,Millicent,13,0,9,0,0,4,0,0
86,Ernie,59,0,20,4,2,23,9,1
87,Macmillan,23,0,3,0,4,9,7,0
88,Fawkes,59,0,28,0,7,14,8,2
