Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
0,1,1535,44,186,89,275,234,232,475
2,3,13,12,0,0,0,0,0,1
2,0,402,116,44,33,62,88,5,54
3,4,45,37,0,0,5,0,0,3
0,4,825,176,111,121,145,171,35,66
5,6,1,1,0,0,0,0,0,0
5,0,32,28,0,0,0,0,0,4
7,4,328,87,42,31,43,83,24,18
2,4,282,118,14,20,51,48,12,19
8,4,12,11,0,0,0,1,0,0
9,1,141,5,11,14,18,25,28,40
4,1,18,3,3,2,3,5,2,0
10,4,60,13,0,0,5,5,34,3
10,12,150,21,39,14,21,32,23,0
10,1,552,23,34,11,67,97,238,82
12,1,19,9,0,0,0,2,0,8
10,13,34,7,4,9,5,2,7,0
13,12,23,1,4,3,3,6,6,0
10,14,35,2,5,0,0,1,2,25
15,1,26,8,0,9,0,0,2,7
16,1,3,3,0,0,0,0,0,0
10,15,14,5,0,3,0,0,0,6
0,12,593,98,110,78,46,153,58,50
10,0,2692,111,139,130,487,528,884,413
10,3,298,63,37,45,79,28,42,4
3,12,36,8,0,7,4,3,13,1
9,3,185,48,9,19,33,40,29,7
9,0,1716,141,115,196,270,375,295,324
3,0,1706,299,140,221,315,314,219,198
10,11,296,6,4,34,52,127,68,5
10,7,36,3,0,0,0,0,28,5
17,12,5,5,0,0,0,0,0,0
3,17,2,2,0,0,0,0,0,0
10,18,37,2,0,0,0,9,25,1
11,18,33,5,0,4,5,19,0,0
3,18,91,13,0,10,22,24,20,2
8,12,7,4,1,0,0,1,0,1
8,0,299,14,27,29,41,80,44,64
0,7,400,70,59,40,81,91,25,34
9,2,58,20,8,0,0,22,0,8
2,11,7,4,0,0,1,2,0,0
9,7,26,9,4,0,0,9,0,4
2,7,144,35,15,18,31,24,5,16
2,19,19,1,0,17,0,1,0,0
0,19,58,4,0,54,0,0,0,0
20,0,47,19,0,0,3,25,0,0
20,7,11,6,0,0,0,5,0,0
9,4,67,14,5,8,8,17,5,10
2,20,18,13,0,0,0,5,0,0
2,21,3,3,0,0,0,0,0,0
22,4,8,5,0,0,3,0,0,0
22,0,198,6,0,0,45,18,26,103
19,4,54,9,0,45,0,0,0,0
23,4,23,14,3,4,0,2,0,0
11,4,50,5,0,14,14,8,9,0
8,2,2,1,0,0,0,1,0,0
2,24,8,8,0,0,0,0,0,0
0,24,429,98,27,47,88,88,62,19
23,24,18,9,0,3,6,0,0,0
4,24,40,40,0,0,0,0,0,0
8,7,9,3,1,3,0,2,0,0
11,24,28,6,0,7,0,5,2,8
0,11,1872,50,74,455,326,707,107,153
3,24,463,109,14,63,70,133,57,17
7,24,14,14,0,0,0,0,0,0
23,3,42,4,3,8,11,7,7,2
23,0,180,7,9,35,10,66,25,28
23,9,60,8,1,6,9,16,4,16
4,25,1,1,0,0,0,0,0,0
3,25,3,3,0,0,0,0,0,0
0,26,31,2,0,0,8,13,4,4
3,7,15,10,0,0,4,0,0,1
8,3,45,9,3,13,3,12,4,1
3,15,4,4,0,0,0,0,0,0
3,16,5,5,0,0,0,0,0,0
0,15,53,3,0,10,0,6,8,26
10,24,64,10,0,0,14,7,33,0
9,10,323,14,9,14,47,89,109,41
9,24,70,10,1,7,21,27,4,0
23,10,37,2,0,4,4,14,8,5
23,1,30,2,0,2,7,10,8,1
27,24,1,1,0,0,0,0,0,0
23,27,2,2,0,0,0,0,0,0
1,24,12,2,1,0,0,0,7,2
3,11,100,14,8,27,14,17,15,5
9,11,177,7,1,47,28,79,10,5
28,24,7,7,0,0,0,0,0,0
28,0,62,30,2,3,3,0,4,20
29,24,3,3,0,0,0,0,0,0
30,0,51,3,7,9,14,14,4,0
3,1,70,9,12,6,7,0,9,27
32,0,12,2,0,0,0,0,0,10
0,33,94,88,0,0,0,5,1,0
3,33,10,10,0,0,0,0,0,0
0,18,606,16,7,48,140,201,93,101
28,3,9,7,0,0,0,0,0,2
34,3,4,4,0,0,0,0,0,0
34,0,115,9,0,0,0,0,0,106
28,34,21,2,0,0,0,0,0,19
2,35,2,2,0,0,0,0,0,0
35,11,1,1,0,0,0,0,0,0
0,36,297,55,96,35,23,23,35,30
37,36,25,19,0,4,0,1,1,0
3,36,13,7,3,0,3,0,0,0
37,1,8,6,0,0,0,0,2,0
18,24,47,9,0,0,12,18,8,0
3,38,13,13,0,0,0,0,0,0
0,38,82,20,0,0,19,0,0,43
9,38,10,6,0,0,0,0,0,4
38,1,31,5,0,0,4,0,1,21
9,33,4,4,0,0,0,0,0,0
0,39,225,8,14,52,62,56,12,21
39,7,5,3,0,0,0,2,0,0
39,4,15,1,7,7,0,0,0,0
40,41,50,1,32,2,0,6,8,1
40,0,540,2,90,10,10,174,197,57
42,43,319,3,32,29,82,140,12,21
0,44,5720,451,682,688,840,1112,895,1052
46,45,1,1,0,0,0,0,0,0
42,0,667,26,86,81,142,243,33,56
41,44,139,1,41,42,12,24,7,12
44,11,488,21,26,195,101,120,7,18
9,44,758,85,61,89,121,155,117,130
42,40,65,1,8,1,2,29,16,8
9,40,82,1,9,0,2,27,18,25
9,43,68,2,5,5,20,29,3,4
0,27,87,4,2,4,23,6,25,23
42,44,364,9,33,46,87,134,45,10
47,44,5,3,0,2,0,0,0,0
43,0,437,13,52,54,111,136,33,38
22,48,25,4,4,0,16,1,0,0
22,41,28,5,6,0,17,0,0,0
22,42,49,4,9,0,17,4,2,13
22,43,23,5,4,0,6,5,0,3
22,44,101,4,0,1,32,5,24,35
48,49,3,3,0,0,0,0,0,0
41,49,2,1,0,1,0,0,0,0
23,49,2,2,0,0,0,0,0,0
2,44,17,1,4,0,4,6,0,2
3,44,472,85,62,88,79,80,55,23
44,1,272,30,26,2,28,59,18,109
10,44,395,33,27,25,57,106,55,92
10,50,51,5,0,0,0,0,0,46
5,50,1,1,0,0,0,0,0,0
10,5,10,6,0,0,0,0,0,4
43,44,201,2,6,3,62,89,24,15
8,43,18,2,0,6,0,6,0,4
49,44,201,12,2,159,2,2,0,24
0,51,4468,257,264,606,729,1016,648,948
51,44,2701,132,228,365,419,521,424,612
10,52,10,2,2,0,0,1,5,0
10,45,26,2,0,0,14,8,0,2
23,52,3,3,0,0,0,0,0,0
9,18,95,3,5,3,25,29,18,12
49,1,83,3,0,30,46,0,1,3
44,18,295,13,0,25,75,79,56,47
48,0,51,12,1,0,37,0,0,1
48,28,4,4,0,0,0,0,0,0
48,29,5,5,0,0,0,0,0,0
22,9,24,5,0,0,2,0,14,3
23,28,1,1,0,0,0,0,0,0
28,1,9,2,0,0,0,0,0,7
0,45,606,90,43,65,70,209,67,62
53,54,43,2,12,8,1,3,15,2
53,0,227,17,39,44,21,43,27,36
54,55,127,13,13,27,18,18,20,18
0,55,1212,109,191,173,98,186,334,121
53,55,155,4,24,37,19,22,19,30
55,44,427,61,69,93,75,24,67,38
9,55,180,19,27,17,20,27,58,12
54,44,100,11,27,25,18,9,0,10
54,49,5,5,0,0,0,0,0,0
55,49,10,2,0,8,0,0,0,0
51,49,67,5,0,47,7,3,0,5
