Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
1,0,991,29,95,42,163,156,168,338
2,3,6,6,0,0,0,0,0,0
2,0,226,74,27,23,17,51,2,32
3,4,27,21,0,0,3,0,0,3
4,0,564,116,70,67,120,108,47,36
5,6,1,1,0,0,0,0,0,0
5,0,20,16,0,0,0,0,0,4
0,4,411,76,56,65,88,77,13,36
4,7,246,68,40,25,28,58,15,12
4,2,180,83,7,14,30,30,7,9
2,4,144,59,8,10,22,22,5,18
4,8,7,7,0,0,0,0,0,0
8,4,4,4,0,0,0,0,0,0
9,1,83,5,10,15,2,18,11,22
1,4,9,3,0,0,3,2,0,1
7,4,108,18,17,15,10,30,12,6
4,10,31,1,0,0,5,2,21,2
10,12,85,7,10,10,8,22,28,0
10,1,292,9,31,6,25,39,131,51
1,10,348,11,9,6,41,68,155,58
12,1,11,4,3,0,0,2,0,2
1,12,13,7,0,0,0,2,0,4
12,10,100,15,24,5,20,16,20,0
10,13,24,2,0,2,6,7,7,0
13,12,22,1,16,5,0,0,0,0
13,10,19,6,9,0,4,0,0,0
10,14,12,3,0,0,0,1,0,8
1,15,22,8,0,5,0,0,5,4
1,16,3,3,0,0,0,0,0,0
15,10,6,5,0,0,0,0,0,1
12,0,324,29,70,42,30,94,18,41
0,1,818,21,107,50,110,149,121,260
0,10,1733,86,99,119,354,285,524,266
0,12,319,49,46,42,30,73,55,24
10,3,157,37,16,18,44,13,29,0
3,12,30,10,0,5,4,6,4,1
3,9,149,31,3,17,12,32,49,5
0,9,1002,72,56,118,163,246,138,209
10,0,1529,71,67,58,245,337,463,288
3,10,187,22,52,14,53,24,18,4
3,11,55,16,2,9,14,11,0,3
10,11,184,5,4,30,34,58,45,8
11,10,199,1,4,33,32,81,43,5
10,4,41,6,0,0,1,10,23,1
10,7,43,7,0,0,2,11,19,4
0,3,1115,197,93,134,213,206,144,128
12,17,2,2,0,0,0,0,0,0
17,3,6,6,0,0,0,0,0,0
17,12,3,3,0,0,0,0,0,0
3,0,1001,208,83,169,161,159,124,97
10,18,40,3,0,0,0,18,15,4
18,3,73,16,0,0,19,32,1,5
12,8,19,4,5,0,0,7,0,3
8,0,187,11,17,38,22,50,21,28
0,7,331,48,51,49,67,58,19,39
7,0,135,27,19,16,23,36,4,10
9,0,992,87,77,84,137,260,175,172
9,2,44,7,8,0,0,17,0,12
0,2,234,50,25,24,41,66,3,25
2,11,7,3,0,0,0,4,0,0
7,9,12,3,1,0,0,0,0,8
7,2,73,13,10,0,15,13,5,17
19,2,10,4,0,6,0,0,0,0
19,0,41,2,0,39,0,0,0,0
2,7,90,36,3,8,17,17,2,7
2,20,15,13,0,0,0,2,0,0
0,20,28,3,0,0,4,21,0,0
20,0,26,16,0,0,0,10,0,0
7,20,6,3,0,0,0,3,0,0
9,4,33,16,2,2,2,11,0,0
9,7,29,8,0,1,3,11,0,6
4,9,47,7,6,3,5,11,9,6
21,2,3,3,0,0,0,0,0,0
20,2,6,2,0,0,0,4,0,0
2,19,16,3,0,13,0,0,0,0
